Date,Open,High,Low,Close,Adj Close,Volume,
8/31/2021,47024.33984,48189.55078,46750.09375,47166.6875,47166.6875,34730363427,2433
9/1/2021,47099.77344,49111.08984,46562.4375,48847.02734,48847.02734,39139399125,2434
9/2/2021,48807.84766,50343.42188,48652.32031,49327.72266,49327.72266,39508070319,2435
9/3/2021,49288.25,50982.27344,48386.08594,50025.375,50025.375,43206179619,2436
9/4/2021,50009.32422,50545.58203,49548.78125,49944.625,49944.625,37471327794,2437
9/5/2021,49937.85938,51868.67969,49538.59766,51753.41016,51753.41016,30322676319,2438
9/6/2021,51769.00391,52700.94141,51053.67969,52633.53516,52633.53516,38884105426,2439
9/7/2021,52660.48047,52853.76563,43285.20703,46811.12891,46811.12891,65210059683,2440
9/8/2021,46827.76172,47334.05469,44561.39453,46091.39063,46091.39063,49007762488,2441
9/9/2021,45774.74219,47261.94922,45669.73828,46391.42188,46391.42188,38672657013,2442
9/10/2021,46396.66406,47031.74219,44344.48438,44883.91016,44883.91016,39154666597,2443
9/11/2021,44869.83984,45969.29297,44818.26563,45201.45703,45201.45703,34499835245,2444
9/12/2021,45206.62891,46364.87891,44790.46094,46063.26953,46063.26953,27881980161,2445
9/13/2021,46057.21484,46598.67969,43591.32031,44963.07422,44963.07422,40969943253,2446
9/14/2021,44960.05078,47218.125,44752.33203,47092.49219,47092.49219,38652152880,2447
9/15/2021,47098,48450.46875,46773.32813,48176.34766,48176.34766,30484496466,2448
9/16/2021,48158.90625,48486.82813,47079.55859,47783.35938,47783.35938,31764293754,2449
9/17/2021,47771.00391,48160.92188,46832.52344,47267.51953,47267.51953,28727713711,2450
9/18/2021,47273.52734,48791.78125,47087.28516,48278.36328,48278.36328,28575630451,2451
9/19/2021,48268.85547,48328.36719,46919.80469,47260.21875,47260.21875,26967722648,2452
9/20/2021,47261.40625,47328.19922,42598.91406,42843.80078,42843.80078,43909845642,2453
9/21/2021,43012.23438,43607.60938,39787.60938,40693.67578,40693.67578,48701090088,2454
9/22/2021,40677.95313,43978.62109,40625.63281,43574.50781,43574.50781,38139709246,2455
9/23/2021,43560.29688,44942.17578,43109.33984,44895.09766,44895.09766,34244064430,2456
9/24/2021,44894.30078,45080.49219,40936.55859,42839.75,42839.75,42839345714,2457
9/25/2021,42840.89063,42996.25781,41759.92188,42716.59375,42716.59375,31604717236,2458
9/26/2021,42721.62891,43919.30078,40848.46094,43208.53906,43208.53906,30661222077,2459
9/27/2021,43234.18359,44313.24609,42190.63281,42235.73047,42235.73047,30980029059,2460
9/28/2021,42200.89844,42775.14453,40931.66406,41034.54297,41034.54297,30214940550,2461
9/29/2021,41064.98438,42545.25781,40829.66797,41564.36328,41564.36328,30602359905,2462
9/30/2021,41551.26953,44092.60156,41444.58203,43790.89453,43790.89453,31141681925,2463
